id,businessName,email,website,confidence,method
2,"3R RV Service Center - Union",parts2@3rrv.com,"https://www.3rrv.com/",unknown,regex
10,"Airstream Adventures - Bay Area",cafrfair_leads@lithia.com,"https://bayareaairstream.com",unknown,regex
22,"All Points RV Solutions LLC",micah@micahrich.com,"https://www.aprvs.com",unknown,regex
38,"Appleton Camping Center, Inc.",info@markquartrvappleton.com,"https://www.appletoncamping.com/",unknown,regex
40,"Arizona RV Service",info@arizonarvservice.com,"https://www.arizonarvservice.com/",unknown,regex
41,"Arlington RV Supercenter, Inc.",jay@arlingtonrv.com,"https://www.arlingtonrv.com/",unknown,regex
44,"Atlantic RV Body Repair & Service",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"https://atlanticrvservice.com",unknown,regex
45,"Avalon-RV",info@avalon-rv.com,"https://avalon-rv.com/",unknown,regex
51,"Beckley's Camping Center",stephanie.office@beckleysrvs.com,"https://www.beckleysrvs.com",unknown,regex
53,"Bell Road RV Center",service@bellroadrv.com,"https://www.bellroadrv.com/",unknown,regex
62,"Bish's RV of American Fork",leads.aut.sales@bishs.com,"https://www.bishs.com/",unknown,regex
68,"Bish's RV of Lincoln",leads.aut.sales@bishs.com,"https://www.bishs.com/",unknown,regex
70,"Bish's RV of Omaha",leads.aut.sales@bishs.com,"https://www.bishs.com/",unknown,regex
71,"Bish's RV of Salt Lake City",leads.aut.sales@bishs.com,"https://www.bishs.com/",unknown,regex
115,"Blue Compass - RV One Superstores - Auburn Hills",info@asrvcenter.com,"https://www.asrvcenter.com/?utm_source=local&utm_campaign=gmbdet&utm_medium=organic",unknown,regex
135,"Boyer RV Center",sales@boyerrvsales.com,"https://www.boyerrvsales.com/",unknown,regex
144,"Brown's RV Superstore",support@digitalpower.solutions,"http://www.brownsrvsuperstore.com",unknown,regex
159,"Campers Inn RV of Mesa (Little Dealer, Little Prices)",sales@littledealer.com,"https://www.littledealer.com/locations/rvs-for-sale-mesa",unknown,regex
164,"Campers Inn RV of Phoenix (Little Dealer, Little Prices)",sales@littledealer.com,"https://www.littledealer.com/locations/rvs-for-sale-phoenix",unknown,regex
172,"Campers RV Center",salesmgr@campersrvcenter.com,"http://www.campersrvcenter.com/",unknown,regex
182,"Camping World - Hitch RV",csteam@campingworld.com,"https://www.hitchrv.com",unknown,regex
197,"Camping World of Birch Run (BRMI)",csteam@campingworld.com,"https://rv.campingworld.com/dealer/birch-run-michigan",unknown,regex
203,"Camping World of Buffalo",store38@campingworld.com,"https://www.campingworldofbuffalo.com",unknown,regex
209,"Camping World of Chicago",store219@campingworld.com,"http://www.campingworldofchicago.com/",unknown,regex
212,"Camping World of Coldwater (QMI)",csteam@campingworld.com,"https://rv.campingworld.com/dealer/quincy-michigan-coldwater?utm_source=moz&utm_campaign=directory&utm_medium=organic",unknown,regex
221,"Camping World of Escanaba",csteam@campingworld.com,"https://rv.campingworld.com/dealer/escanaba-michigan",unknown,regex
225,"Camping World of Fort Pierce",csteam@campingworld.com,"https://rv.ganderoutdoors.com/dealer/fort-pierce-florida",unknown,regex
243,"Camping World of Kaysville",store230@campingworld.com,"https://www.bjrv.com",unknown,regex
247,"Camping World of Lincoln (LNE)",csteam@campingworld.com,"https://rv.campingworld.com/dealer/lincoln-nebraska",unknown,regex
248,"Camping World of Little Falls",csteam@campingworld.com,"http://www.hilmersonrv.com/",unknown,regex
261,"Camping World of New Jersey",jeff@getoutsidenj.com,"https://www.getoutsidenj.com/places/camping-world-lakewood-nj/",unknown,regex
263,"Camping World of New River",csteam@campingworld.com,"https://rv.campingworld.com/dealer/new-river?utm_source=moz&utm_campaign=directory&utm_medium=organic",unknown,regex
267,"Camping World of Oxford",store88@campingworld.com,"http://www.campingworldofoxford.com/",unknown,regex
303,"Camping World of Tyler",csteam@campingworld.com,"http://www.southernrvsupercenter.com/",unknown,regex
304,"Camping World of Uxbridge",hailey.almeida@campingworld.com,"http://www.flaggrv.com",unknown,regex
305,"Camping World of Vacaville",csteam@campingworld.com,"https://CampingWorldofVacaville.com",unknown,regex
320,"Camping World RV Sales of Ocala",store127@campingworld.com,"http://campingworldofocala.com",unknown,regex
328,"Camping World - Van Boxtel RV and Auto",jeremy.olson@campingworld.com,"http://www.vanboxtelrv.com/",unknown,regex
341,"Cliff Jones RV",rvwebleads@cliffjones.dsmessage.com,"http://www.cliffjonesrv.com/",unknown,regex
346,"Colonial RV (Airstream & Itasca)",sales@colonialairstream.com,"https://www.colonialairstream.com/",unknown,regex
351,"Copley's RV",sales1@copleysrv.com,"https://www.copleysrv.com/",unknown,regex
359,"Crowder RV Center",jroberts@crowderrv.com,"https://www.crowderrv.com/",unknown,regex
361,"CS Mobile RV Repair",charles.sutton@csmobilervrepair.com,"https://Www.Csmobilervrepair.com",unknown,regex
367,"D&N RV",your-experience-matters@alabamarvservice.com,"https://alabamarvservice.com/",unknown,regex
380,"Ehrhardt's Trailer Sales",webcontact@etstrailers.com,"http://www.etstrailers.com/",unknown,regex
397,"EXPRESS FLEET AND RV SERVICES INC",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"http://www.expressfleetandrv.com",unknown,regex
401,"Five Bears RV Service LLC",eben@eyebytes.com,"https://fivebearsrvservice.com/",unknown,regex
404,"Fort Wort Trailer Supply LLC",service@fortworthtrailersupply.com,"https://fortworthtrailersupply.com",unknown,regex
412,"Fun Town RV - Cleburne",cleburnecreditapp@funtownrv.com,"https://www.funtownrv.com",unknown,regex
414,"Fun Town RV - Waco",cleburnecreditapp@funtownrv.com,"http://www.funtownrvwaco.com/",unknown,regex
416,"Gander RV & Outdoors - Hamburg",leads@boatnrv.com,"https://WWW.BOATNRV.COM",unknown,regex
474,"Heart of Texas RV Pros, LLC - Mobile Service",info@hotrvpros.com,"https://Hotrvpros.com",unknown,regex
489,"JNRRIDER, LLC",service@pullthroughsites.com,"https://www.pullthroughsites.com",unknown,regex
