id,businessName,fullAddress,streetAddress,city,state,stateFull,zip,country,phone,website,websiteTitle,latitude,longitude,source,certifiedTech,nearestFranchise,distanceToFranchise
2,3R RV Service Center - Union,"7819 State Highway 47, Union, Missouri 63084, United States",7819 State Highway 47,Union,MO,Missouri,63084,US,636-583-2244,https://www.3rrv.com/,www.3rrv.com,38.388496,-90.982453,RVTI,true,"Fireside Collinsville, IL",57.4
3,Family Time Trailers,"26 Dream Hollow Road, Troy, Missouri 63379, United States",26 Dream Hollow Road,Troy,MO,Missouri,63379,US,636-528-4301,https://www.47westtrailers.com/,www.47westtrailers.com,39.08766,-90.971759,RVTI,true,"Fireside Collinsville, IL",60.4
5,A2Z RV Service,"400 Oakridge Blvd, Lewisville, Texas 75065, United States",400 Oakridge Blvd,Lewisville,TX,Texas,75065,US,(806) 674-7793,,,33.073119,-97.015782,RVTI,true,"Fireside Fort Worth, TX",28.6
6,AC Nelsen RV World (Omaha),"11818 L Street, Omaha, Nebraska 68137-2206, United States",11818 L Street,Omaha,NE,Nebraska,68137-2206,US,1-888-655-2332,https://acnrv.com/,acnrv.com,41.213486,-96.097463,RVTI,true,"Fireside Omaha, NE",9
8,Adventure Motorhomes,"198 Bob Ledford Driive, Greer, South Carolina 29651, United States",198 Bob Ledford Driive,Greer,SC,South Carolina,29651,US,,https://www.adventuremotorhomes.net/,www.adventuremotorhomes.net,34.875055,-82.221492,RVTI,true,"Fireside Asheville, NC",53.1
9,AAA RV Repair LLC,"4222 Ramsey Blvd, Cape Coral, Florida 33909, United States",4222 Ramsey Blvd,Cape Coral,FL,Florida,33909,US,2394148518,http://aaarvrepair.com,aaarvrepair.com,26.739015,-81.940549,RVTI,true,"Fireside Bradenton, FL",65.4
10,Airstream Adventures - Bay Area,"2400 Cordelia Rd, Fairfield, California 94534, United States",2400 Cordelia Rd,Fairfield,CA,California,94534,US,707-410-3259,https://bayareaairstream.com,bayareaairstream.com,38.229885,-122.074358,RVTI,true,"Fireside Santa Rosa, CA",37.6
14,Airstream of Charlotte,"1107 Airport Road, Monroe, North Carolina 28110, United States",1107 Airport Road,Monroe,NC,North Carolina,28110,US,704-764-1643,https://airstreamcharlotte.com,airstreamcharlotte.com,35.015012,-80.630851,RVTI,true,"Fireside Concord, NC",27.4
15,Airstream of Chicago,"9740 S. Rt. 59, Naperville, Illinois 60564, United States",9740 S. Rt. 59,Naperville,IL,Illinois,60564,US,833-274-9708,https://www.airstreamofchicago.com,www.airstreamofchicago.com,41.705197,-88.205781,RVTI,true,"Fireside Kenosha, WI",63.9
16,Blue Compass - Airstream of Virginia (AIR),"11525 Sunshade Lane, Ashland, Virginia 23005, United States",11525 Sunshade Lane,Ashland,VA,Virginia,23005,US,855-570-4398,https://www.airstreamofva.com/,www.airstreamofva.com,37.724878,-77.45093,RVTI,true,"Fireside Woodbridge, VA",65.4
